Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0098,Parking Deck,POL-GL-456123,2024-04-01,Vehicle damaged by falling concrete,Property Damage,GA,2024-06-28,Atlanta Parking Authority,18500,3500,0,0,"06/28/2024 - Concrete Fall: Chunk of deck concrete fell on parked car. | 06/29/2024 - Damage: Roof crushed, windshield shattered. $16K estimate. | 07/03/2024 - Investigation: Spalling concrete throughout structure. | 07/08/2024 - Coverage: Property damage from premises covered. | 07/15/2024 - Settlement: $18.5K including rental car. | 07/20/2024 - Closed: Emergency structural repairs underway.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0099,Mini Golf,POL-GL-789876,2023-10-01,Child injured by broken obstacle,Bodily Injury,SC,2024-02-20,Fantasy Golf Adventures,26000,6500,0,0,"02/20/2024 - Mini Golf Injury: Windmill blade detached, struck child. | 02/21/2024 - Injury: Laceration requiring stitches, mild concussion. | 02/25/2024 - Investigation: Wooden blade rotted. No maintenance schedule. | 03/01/2024 - Coverage: Premises liability clear. | 03/10/2024 - Medical: $21K ER and follow-up care. | 03/20/2024 - Settlement: $26K prompt resolution. | 03/30/2024 - Closed: All obstacles inspected and repaired.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0100,Food Truck,POL-GL-234987,2024-01-01,Propane explosion injured nearby pedestrians,Bodily Injury,TX,2024-07-15,Austin Street Food Co,215000,52000,185000,48000,"07/15/2024 - Propane Explosion: Tank leak ignited. 3 pedestrians burned. | 07/16/2024 - Severity: 2 with second-degree burns, 1 critical with third-degree. | 07/20/2024 - Investigation: Tank inspection overdue. Leak reported but not fixed. | 07/25/2024 - Coverage: CGL responds. Aggregate concerns with severity. | 08/01/2024 - Litigation: All 3 filed. Grossman Burn Injury Lawyers representing. | 08/10/2024 - Partial Settlement: 2 minor burns settled $215K. | Ongoing: Critical burn victim. Skin grafts ongoing. Seven-figure exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0101,Elevator Entrapment,POL-GL-345789,2022-11-01,Passengers trapped in elevator for 4 hours,Personal Injury,NY,2023-01-15,Metropolitan Tower Management,85000,22000,0,0,"01/15/2023 - Initial Report: Six passengers trapped between floors during power outage. Building's emergency generator failed to engage elevator systems. | 01/16/2023 - Investigation commenced with elevator contractor. Found maintenance company had disconnected elevator from emergency power during recent service without documenting or correcting. | 01/18/2023 - Claimants identified: Four office workers, one pregnant woman, one claustrophobic individual who suffered severe panic attack. | 01/22/2023 - Medical documentation received. Panic attack victim hospitalized overnight for observation. Pregnant woman monitored for stress-related complications. | 02/01/2023 - Attorney representation: Cellino & Barnes representing panic attack victim. Demanding $250K for emotional distress and ongoing therapy needs. | 02/15/2023 - Coverage confirmed under premises liability. No exclusions applicable. Building owner had constructive notice of generator issues from prior incidents. | 03/01/2023 - Settlement negotiations began. Other passengers accepting nominal settlements for inconvenience. Focus on two serious claims. | 03/20/2023 - Final settlement reached: $65K to panic attack victim, $20K to pregnant woman for monitoring and distress. Others settled for $5K total. | 04/01/2023 - Claim closed. Building implemented redundant safety systems and enhanced maintenance protocols.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0102,Scaffolding Collapse,POL-GL-567890,2023-01-01,Scaffolding failure at renovation site,Bodily Injury/Property Damage,CA,2023-02-28,Pacific Coast Contractors Inc,195000,55000,0,0,"02/28/2023 - Catastrophic scaffold collapse during high winds. Three workers injured, multiple vehicles damaged below. | 03/01/2023 - Cal/OSHA on site immediately. Preliminary finding: scaffolding not properly secured to building, missing required cross-bracing. | 03/03/2023 - Injured workers: Jose Martinez (fractured pelvis), Mike Chen (concussion and lacerations), Roberto Silva (broken ribs and internal injuries). | 03/10/2023 - Property damage assessment: Four vehicles totaled, one storefront window shattered. Total property damage $65K. | 03/15/2023 - Workers' comp carriers pursuing subrogation. Our insured was general contractor with safety oversight responsibility. | 03/25/2023 - Legal representation engaged: Martinez retained Panish Shea Boyle Ravipudi LLP. Anticipating significant demand given permanent impairment. | 04/10/2023 - OSHA citations issued: $45K in fines for willful violations. Criminal investigation referral possible. | 04/25/2023 - Settlement conference held. Global resolution reached: Martinez $125K, Chen $35K, Silva $35K. Property damage claims settled separately. | 05/15/2023 - All releases obtained. Insured required to implement comprehensive scaffold safety program with third-party oversight.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0103,Restaurant Kitchen Fire,POL-GL-789012,2022-06-01,Grease fire spread to adjacent businesses,Property Damage,TX,2023-03-15,Lone Star BBQ House,275000,45000,0,0,"03/15/2023 - Major grease fire in kitchen exhaust system. Spread through shared ventilation to adjacent retail spaces. | 03/16/2023 - Fire Marshal investigation: Exhaust hood cleaning records falsified. System hadn't been properly cleaned in 18 months. Grease buildup excessive. | 03/18/2023 - Adjacent businesses affected: Boutique clothing store (smoke damage to entire inventory), law office (smoke and water damage to files and electronics). | 03/25/2023 - Initial damage estimates: Clothing store $125K inventory loss plus $40K cleaning. Law office $85K equipment and $50K document restoration. | 04/01/2023 - Coverage analysis complete. CGL responds to property damage to others. Fire legal liability sublimit adequate at $500K. | 04/10/2023 - Clothing store attorney: Demanding $200K including two weeks lost business. Law office claiming additional $75K for business interruption. | 04/20/2023 - Negotiations with both claimants. Strong liability given maintenance negligence and code violations. | 05/01/2023 - Settlements reached: Clothing store $165K all inclusive. Law office $110K including BI claims. | 05/20/2023 - Subrogation potential against hood cleaning contractor being evaluated. Final payments issued.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0104,Parking Garage Assault,POL-GL-234567,2023-02-01,Customer assaulted due to inadequate security,Bodily Injury,IL,2023-04-22,City Center Parking LLC,145000,38000,0,0,"04/22/2023 - Brutal assault in parking garage. Victim Sarah Thompson attacked and robbed while walking to car at 8 PM. | 04/23/2023 - Police report obtained. This is fourth similar incident in six months. No security guards on duty despite previous incidents. | 04/25/2023 - Victim injuries severe: Facial fractures, traumatic brain injury, PTSD. Attacker still at large. | 05/01/2023 - Prior incidents reviewed. Management received multiple complaints about lighting and security but took no action. Clear notice of dangerous condition. | 05/10/2023 - Victim representation: Clifford Law Offices. Alleging negligent security and seeking seven figures given TBI and ongoing cognitive issues. | 05/20/2023 - Crime statistics obtained for area. Expert opinion that security measures fell below industry standard for high-crime location. | 06/01/2023 - Medical costs mounting: $95K to date with extensive future treatment needed. Neuropsychological testing shows permanent impairment. | 06/15/2023 - Settlement demand: $500K. Given clear liability and sympathetic plaintiff, recommendation to settle within policy limits. | 07/01/2023 - Settled for $145K plus commitment to implement comprehensive security program including guards, cameras, and improved lighting.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0105,Bounce House Wind,POL-GL-456789,2022-12-01,Inflatable lifted by wind with children inside,Bodily Injury,AZ,2023-05-10,Desert Party Rentals LLC,225000,48000,0,0,"05/10/2023 - Tragic bounce house incident at birthday party. Dust devil lifted inflatable 20 feet with three children inside. | 05/11/2023 - Initial assessment: Two children thrown from bounce house during lift, one rode it down. Ages 5, 7, and 8. | 05/12/2023 - Injuries documented: 5-year-old (skull fracture, in pediatric ICU), 7-year-old (broken femur and arm), 8-year-old (miraculously only bruises and psychological trauma). | 05/15/2023 - Weather service confirmed dust devil conditions common in area during May. Operator had no weather monitoring protocol. | 05/20/2023 - Anchoring system inspection: Only 4 stakes used instead of required 8. Stakes were wrong type for desert soil conditions. | 05/25/2023 - Legal representation: 5-year-old family retained Husch Blackwell. Other families also seeking counsel. Anticipating coordinated litigation. | 06/05/2023 - Medical update: 5-year-old showing cognitive deficits. May need special education services. Future medical costs estimated at $200K+. | 06/20/2023 - Insurance coverage confirmed but aggregate limits concern given severity. Excess carrier placed on notice. | 07/10/2023 - Global settlement negotiated: $125K to 5-year-old, $75K to 7-year-old, $25K to 8-year-old. Structured settlement for youngest child.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0106,Cybersecurity Breach,POL-GL-678901,2023-03-01,Customer data breach led to identity theft claims,Personal Injury,WA,2023-06-15,TechSecure Solutions Inc,165000,52000,135000,28000,"06/15/2023 - Major data breach discovered affecting 50,000 customers. Personal information including SSNs and credit cards exposed. | 06/16/2023 - Forensic investigation launched with Mandiant. Initial vector appears to be unpatched vulnerability exploited by ransomware group. | 06/20/2023 - Notification letters sent to affected individuals per state breach laws. Class action anticipated given scale and sensitive data involved. | 06/25/2023 - First identity theft claims emerging. Multiple customers reporting fraudulent accounts opened, credit damage. | 07/01/2023 - Class action filed in W.D. Washington. Keller Rohrback L.L.P. as class counsel. Seeking credit monitoring and statutory damages. | 07/15/2023 - Coverage analysis: Limited cyber coverage on GL policy. $500K sublimit with $100K retention. Personal injury coverage may apply to privacy violations. | 08/01/2023 - Individual claims growing: 127 customers with documented identity theft losses. Aggregate exposure exceeding $1M. | 08/20/2023 - Partial settlement of individual claims at $165K. Class action negotiations ongoing. Regulator investigations by multiple states. | 09/01/2023 - Reserve established at $300K for remaining exposure. Insured implementing enhanced cybersecurity measures as part of settlement.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0107,Amusement Park Ride,POL-GL-890123,2022-08-01,Roller coaster malfunction caused whiplash injuries,Bodily Injury,FL,2023-07-20,Sunshine Thrills Park,198000,42000,0,0,"07/20/2023 - Roller coaster emergency stop malfunction. Ride stopped abruptly at high speed causing multiple neck and back injuries. | 07/21/2023 - Twelve riders treated on scene, eight transported to hospital. Most serious: two with herniated discs confirmed by MRI. | 07/23/2023 - State inspection revealed brake system computer error. Failsafe didn't engage properly. Maintenance records show system errors ignored. | 07/28/2023 - Legal notices received from six riders. Most serious claims from Amanda Foster (26, professional dancer) and Marcus Johnson (44, construction worker). | 08/05/2023 - Medical documentation mounting. Foster requires surgery for C5-C6 disc herniation. Career as dancer likely ended. Johnson also surgical candidate. | 08/15/2023 - Media coverage intense. Orlando Sentinel running series on park safety. Public pressure for substantial settlements. | 08/25/2023 - Foster represented by Morgan & Morgan. Initial demand $750K given lost career earnings. Johnson seeking $400K. | 09/10/2023 - Negotiated settlements: Foster $95K, Johnson $65K, remaining claims $38K combined. Avoided prolonged litigation and publicity. | 09/25/2023 - All claims resolved. Park required to implement redundant safety systems and increase inspection frequency.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0108,Construction Site Fall,POL-GL-234567,2023-01-01,Subcontractor fell through unmarked opening,Bodily Injury,NY,2023-08-05,Empire State Builders Corp,265000,58000,0,0,"08/05/2023 - Electrician fell 20 feet through unmarked floor opening at construction site. No fall protection or hole covering in place. | 08/06/2023 - Victim Anthony Ricci airlifted to trauma center. Multiple injuries including fractured vertebrae, broken pelvis, internal bleeding. | 08/08/2023 - OSHA investigation launched. Site superintendent admitted knowing about opening but hadn't gotten around to covering it. | 08/12/2023 - Labor Law 240/241 claim anticipated. Strict liability in New York for elevation-related injuries. No defense available. | 08/20/2023 - Ricci's condition stabilized but facing multiple surgeries. Spinal fusion required. Permanent partial disability likely. | 09/01/2023 - Legal representation: Block O'Toole & Murphy. Firm known for eight-figure construction accident verdicts. | 09/15/2023 - Medical costs exceeding $200K. Future care needs estimated at additional $300K. Lost wages significant - union electrician. | 10/01/2023 - Settlement negotiations intense. Plaintiff's counsel starting at $2M demand given clear liability and Labor Law claims. | 10/20/2023 - Settled for $265K (policy limits). Additional coverage from owner and other contractors. Total settlement to plaintiff $850K.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0109,Toxic Mold,POL-GL-456789,2022-10-01,Tenant illness from undisclosed mold in apartment,Bodily Injury,CA,2023-09-12,Coastal Property Management Co,175000,45000,0,0,"09/12/2023 - Tenant Maria Gonzalez hospitalized with severe respiratory issues. Toxic black mold (Stachybotrys) found throughout apartment. | 09/13/2023 - Investigation reveals extensive water damage from roof leaks hidden behind walls. Mold present for months before rental. | 09/15/2023 - Tenant's daughter (age 4) also showing respiratory symptoms. Both diagnosed with mold-induced asthma, likely permanent. | 09/20/2023 - Prior complaints discovered. Previous tenant reported musty odor and water stains. Management painted over without investigating. | 09/25/2023 - Environmental testing: Mold spore counts 50x acceptable levels. Expert declares unit uninhabitable without full remediation. | 10/01/2023 - Legal counsel retained: Gomez Trial Attorneys. Seeking damages for medical costs, relocation, and ongoing health issues. | 10/10/2023 - Medical documentation substantial. Mother and daughter require daily medications, regular pulmonologist visits. | 10/25/2023 - City building department issued citations. Multiple code violations including failure to maintain habitable conditions. | 11/15/2023 - Settlement reached at $175K covering medical costs, pain and suffering, and relocation expenses. Apartment complex sold for remediation.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2023-0110,Delivery Truck,POL-GL-678901,2023-02-01,Delivery truck struck pedestrian in crosswalk,Bodily Injury,MA,2023-10-25,QuickShip Logistics LLC,145000,32000,0,0,"10/25/2023 - Delivery driver making right turn struck pedestrian Dr. James Liu in marked crosswalk. Driver admitted not seeing victim. | 10/26/2023 - Dr. Liu suffered fractured tibia and fibula, severe road rash, concussion. Transported to Mass General Hospital. | 10/28/2023 - Police investigation: Driver was checking delivery app while turning. Cited for failure to yield and distracted driving. | 11/01/2023 - Victim is surgeon at Boston Children's Hospital. Unable to perform surgeries for minimum 3 months. Significant wage loss. | 11/05/2023 - Dashcam footage obtained showing driver never looked right before turning. Clear negligence established. | 11/15/2023 - Attorney representation: Lubin & Meyer. Firm specializes in medical professional injuries. Demand expected to be substantial. | 11/25/2023 - Medical bills totaling $78K. Lost wages calculated at $150K for recovery period. Future impacts being assessed. | 12/10/2023 - Settlement negotiations productive. Plaintiff reasonable given clear liability. Agreed to $145K inclusive settlement. | 12/20/2023 - Claim resolved. Company implemented strict no-phone policy with tracking devices to monitor compliance.",,,,,,,,,,,,,,,,,,,,,,,,,,
